px,py,N,k
8,16,2,0
8,16,2,1
4,48,2,0
4,48,2,1
8,24,2,0
8,24,2,1
4,64,2,0
4,64,2,1
8,32,2,0
8,32,2,1
16,16,2,0
16,16,2,1
