n,px,py,k,i,runtime,gflops,Linf,L2
2000,1,16,Y,10000,2.182000,513.400000,0.992494,0.579892
2000,1,16,N,10000,2.064000,542.700000,0.992355,-nan
2000,2,8,Y,10000,2.331000,480.500000,0.992494,0.579891
2000,2,8,N,10000,2.024000,553.500000,0.982985,-nan
2000,4,4,Y,10000,2.568000,436.100000,0.992494,0.579891
2000,4,4,N,10000,1.991000,562.500000,0.982985,-nan
2000,8,2,Y,10000,2.876000,389.400000,0.992494,0.579892
2000,8,2,N,10000,2.029000,551.900000,0.982985,-nan
2000,16,1,Y,10000,3.045000,367.800000,0.992494,0.579892
2000,16,1,N,10000,2.234000,501.300000,0.982985,-nan
,,,,,,,,
