n,px,py,k,i,runtime,gflops,Linf,L2
2000,8,16,Y,100000,5.039000,2223.000000,0.985551,0.613561
2000,8,8,Y,100000,6.970000,1607.000000,0.985552,0.613571
,,,,,,,,
